Номер,Слово,Встречаемость
615,оттуда,4
616,слуха,1
617,осетины,2
618,обступили,1
619,требовали,1
620,штабс-капитан,19
621,грозно,2
622,прикрикнул,1
623,вмиг,1
624,разбежались,1
625,ведь,36
626,этакий,1
627,народ,11
628,хлеба,1
629,по-русски,2
630,назвать,2
631,умеет,4
632,выучил,3
633,офицер,5
634,дай,3
635,татары,1
636,по,177
637,лучше,35
638,те,13
639,непьющие,1
640,станции,3
641,оставалось,3
642,версту,1
643,кругом,14
644,тихо,9
645,жужжанию,2
646,комара,1
647,можно,25
648,следить,1
649,полетом,1
650,налево,7
651,чернело,1
652,глубокое,5
653,ущелье,10
654,ним,32
655,впереди,4
656,темно-синие,2
657,вершины,3
658,гор,12
659,изрытые,1
660,морщинами,1
661,покрытые,3
662,слоями,1
663,снега,5
664,рисовались,2
665,бледном,3
666,небосклоне,2
667,сохранявшем,1
668,отблеск,2
669,зари,1
670,темном,2
671,небе,3
672,начинали,5
673,мелькать,2
674,звезды,3
675,странно,3
676,показалось,9
677,выше,4
678,севере,1
679,обеим,2
680,сторонам,3
681,дороги,5
682,торчали,2
683,голые,1
684,черные,9
685,камни,5
686,кой-где,1
687,из-под,4
688,выглядывали,1
689,кустарники,1
690,сухой,2
691,листок,1
692,шевелился,1
693,слышать,3
694,среди,9
695,мертвого,1
696,сна,3
697,природы,4
698,фырканье,1
699,усталой,1
700,почтовой,1
701,тройки,1
702,неровное,1
703,побрякиванье,1
704,русского,4
705,колокольчика,4
706,завтра,19
707,славная,6
708,погода,4
709,слова,25
710,указал,2
711,пальцем,2
712,высокую,2
713,поднимавшуюся,1
714,прямо,8
715,спросил,31
716,гуд-гора,2
717,ну,37
718,посмотрите,8
719,курится,1
720,самом,28
721,деле,27
722,курилась,1
723,бокам,1
724,ползали,2
725,легкие,1
726,струйки,1
727,облаков,2
728,лежала,10
729,черная,6
730,туча,6
731,такая,7
732,казалась,5
733,пятном,2
734,различали,1
735,почтовую,1
736,станцию,1
737,кровли,2
738,окружающих,3
739,саклей,2
740,перед,17
741,нами,13
742,мелькали,5
743,приветные,1
744,огоньки,1
745,пахнул,1
746,сырой,3
747,холодный,5
748,ветер,17
749,загудело,1
750,пошел,17
751,мелкий,1
752,дождь,1
753,успел,5
754,накинуть,1
755,бурку,3
756,повалил,2
757,благоговением,1
758,посмотрел,12
759,штабс-капитана,8
760,нам,31
761,придется,5
762,ночевать,2
763,досадою,2
764,такую,6
765,метель,3
766,через,36
767,переедешь,2
768,были,62
769,ль,4
770,обвалы,1
771,крестовой,2
772,извозчика,2
773,господин,14
774,висит,1
775,много,21
776,неимением,1
777,комнаты,10
778,отвели,2
779,ночлег,1
780,дымной,1
781,сакле,4
782,пригласил,2
783,своего,13
784,спутника,2
785,выпить,2
786,стакан,12
787,чая,7
788,ибо,13
789,мной,18
790,чугунный,1
791,чайник,5
792,единственная,2
793,отрада,1
794,моя,38
795,путешествиях,1
796,кавказу,3
797,сакля,2
798,прилеплена,1
799,боком,2
800,скале,3
801,три,18
802,скользкие,1
803,мокрые,2
804,ступени,2
805,вели,1
806,двери,10
807,ощупью,1
808,вошел,9
809,наткнулся,1
810,корову,1
811,хлев,1
812,заменяет,2
813,лакейскую,1
814,знал,9
815,куда,13
816,деваться,2
817,блеют,1
818,овцы,1
819,ворчит,1
820,собака,2
821,стороне,3
822,блеснул,1
823,тусклый,1
824,свет,6
825,помог,1
826,найти,6
827,другое,11
828,отверстие,1
829,наподобие,2
830,открылась,1
831,картина,1
832,занимательная,1
833,широкая,4
834,которой,18
835,крыша,1
836,опиралась,1
837,закопченные,1
838,столба,1
839,полна,1
840,народа,5
841,посередине,1
842,трещал,1
843,огонек,2
844,разложенный,1
845,земле,9
846,дым,6
847,выталкиваемый,1
848,обратно,3
849,ветром,1
850,отверстия,1
851,крыше,2
852,расстилался,1
853,вокруг,8
854,такой,26
855,пеленою,2
856,долго,44
857,мог,43
858,осмотреться,1
859,огня,4
860,сидели,8
861,две,17
862,старухи,2
863,множество,6
864,детей,1
865,худощавый,1
866,лохмотьях,1
867,приютились,1
868,закурили,1
869,трубки,4
870,скоро,21
871,зашипел,1
872,приветливо,1
873,жалкие,2
874,люди,17
875,штабс-капитану,1
876,указывая,4
877,наших,13
878,грязных,1
879,хозяев,1
880,которые,37
881,смотрели,2
882,каком-то,2
883,остолбенении,1
884,преглупый,1
885,поверите,4
886,ничего,54
887,умеют,1
888,способны,2
889,какому,1
890,образованию,1
891,крайней,9
892,мере,10
893,наши,14
894,кабардинцы,2
895,чеченцы,1
896,разбойники,2
897,голыши,1
898,зато,10
899,отчаянные,1
900,башки,1
901,оружию,2
902,никакой,3
903,охоты,4
904,порядочного,2
905,кинжала,3
906,одном,5
907,увидишь,1
908,подлинно,1
909,чечне,1
910,десять,11
911,стоял,14
912,крепости,20
913,ротою,1
914,каменного,2
915,брода,1
916,знаете,22
917,слыхал,2
918,вот,85
919,батюшка,3
920,надоели,2
921,головорезы,1
922,нынче,30
923,слава,7
924,богу,6
925,смирнее,1
926,сто,4
927,шагов,10
928,отойдешь,1
929,вал,5
930,где-нибудь,4
931,косматый,1
932,дьявол,2
933,сидит,7
934,караулит,1
935,чуть,2
936,зазевался,1
937,гляди,3
938,либо,4
939,аркан,1
940,шее,4
941,пуля,9
942,затылке,1
943,молодцы,1
944,чай,9
945,приключений,1
946,подстрекаемый,2
947,любопытством,5
948,бывать,1
949,начал,21
950,щипать,1
951,левый,1
952,ус,1
953,повесил,2
954,голову,22
955,призадумался,2
956,страх,3
957,хотелось,13
958,вытянуть,1
959,него,62
960,какую-нибудь,3
961,историйку,1
962,желание,5
963,свойственное,3
964,всем,14
965,путешествующим,1
966,записывающим,1
967,людям,2
968,между,50
969,поспел,2
970,вытащил,3
971,походных,1
972,стаканчика,1
973,налил,3
974,поставил,5
975,отхлебнул,1
976,будто,43
977,про,11
978,себя,51
979,восклицание,1
980,подало,1
981,большие,4
982,надежды,10
983,старые,7
984,кавказцы,1
985,поговорить,3
986,порассказать,1
987,редко,2
988,удается,2
989,пять,13
990,стоит,7
991,захолустье,1
992,ротой,2
993,целые,2
994,никто,24
995,скажет,3
996,здравствуйте,2
997,фельдфебель,1
998,говорит,12
999,здравия,1
1000,желаю,6
1001,поболтать,1
1002,дикий,3
1003,любопытный,3
1004,день,32
1005,опасность,1
1006,случаи,4
1007,бывают,3
1008,чудные,1
1009,поневоле,4
1010,пожалеешь,1
1011,том,22
1012,мало,12
1013,записывают,1
1014,хотите,24
1015,подбавить,1
1016,рому,1
1017,своему,4
1018,собеседнику,1
1019,белый,2
1020,холодно,9
1021,нет-с,2
1022,благодарствуйте,3
1023,пью,1
1024,дал,12
1025,заклятье,1
1026,подгуляли,1
1027,собой,10
1028,ночью,16
1029,сделалась,2
1030,тревога,2
1031,вышли,4
1032,фрунт,1
1033,навеселе,1
1034,досталось,2
1035,алексей,1
1036,петрович,2
1037,узнал,15
1038,господи,1
1039,рассердился,3
1040,чуть-чуть,8
1041,отдал,4
1042,суд,2
1043,целый,10
1044,живешь,2
1045,никого,10
1046,видишь,7
1047,водка,1
1048,пропадший,1
1049,услышав,2
1050,потерял,3
1051,надежду,4
1052,черкесы,4
1053,продолжал,24
1054,напьются,1
1055,бузы,2
1056,свадьбе,1
1057,похоронах,1
1058,пошла,4
1059,рубка,1
1060,насилу,3
1061,ноги,7
1062,унес,2
1063,мирнова,1
1064,князя,2
1065,гостях,1
1066,случилось,11
1067,набил,1
1068,трубку,4
1069,затянулся,1
1070,рассказывать,11
1071,изволите,1
1072,видеть,15
1073,тогда,36
1074,тереком,3
1075,этому,19
1076,осенью,1
1077,пришел,7
1078,транспорт,1
1079,провиантом,1
1080,транспорте,1
1081,молодой,9
1082,двадцати,3
1083,пяти,5
1084,явился,5
1085,ко,35
1086,полной,5
1087,форме,1
1088,объявил,6
1089,велено,1
1090,остаться,7
1091,тоненький,1
1092,беленький,1
1093,мундир,6
1094,новенький,2
1095,тотчас,14
1096,догадался,4
1097,переведены,1
1098,сюда,7
1099,россии,3
1100,взял,12
1101,руку,50
1102,рад,8
1103,немножко,6
1104,скучно,16
1105,будем,6
1106,жить,8
1107,по-приятельски,1
1108,зовите,1
1109,максим,35
1110,максимыч,35
1111,чему,13
1112,полная,1
1113,форма,2
1114,приходите,1
1115,всегда,30
1116,фуражке,1
1117,квартиру,5
1118,поселился,1
1119,звали,3
1120,максима,7
1121,максимыча,7
1122,григорием,2
1123,александровичем,2
1124,печориным,3
1125,славный,1
1126,малый,2
1127,уверить,7
1128,только,163
1129,странен,1
1130,например,6
1131,дождик,1
1132,холод,1
1133,охоте,3
1134,иззябнут,1
1135,устанут,1
1136,комнате,12
1137,пахнет,1
1138,уверяет,1
1139,простудился,1
1140,ставнем,1
1141,стукнет,1
1142,вздрогнет,1
1143,побледнеет,1
1144,ходил,3
1145,кабана,3
1146,целым,2
1147,часам,1
1148,добьешься,2
1149,иногда,14
1150,начнет,1
1151,животики,1
1152,надорвешь,1
1153,смеха,7
1154,да-с,3
1155,большими,2
1156,странностями,1
1157,должно,14
1158,богатый,1
1159,сколько,10
1160,разных,4
1161,дорогих,1
1162,вещиц,1
1163,жил,7
1164,памятен,2
1165,наделал,1
1166,хлопот,2
1167,будь,1
1168,помянут,1
1169,право,22
1170,этакие,1
1171,которых,23
1172,роду,6
1173,написано,4
1174,ними,20
1175,должны,14
1176,случаться,1
1177,разные,8
1178,необыкновенные,5
1179,вещи,9
1180,воскликнул,4
1181,видом,5
1182,любопытства,4
1183,подливая,1
1184,расскажу,3
1185,мирной,2
1186,князь,2
1187,сынишка,1
1188,мальчик,7
1189,пятнадцати,1
1190,повадился,1
1191,ездит,2
1192,всякий,9
1193,другим,4
1194,какой,11
1195,головорез,1
1196,проворный,1
1197,хочешь,16
1198,шапку,3
1199,поднять,3
1200,скаку,2
1201,ружья,3
1202,стрелять,5
1203,одно,14
1204,нехорошо,4
1205,падок,1
1206,григорий,20
1207,александрович,20
1208,обещался,3
1209,дать,6
1210,червонец,1
1211,украдет,2
1212,лучшего,3
1213,козла,1
1214,отцовского,1
1215,стада,1
1216,притащил,1
1217,рога,1
1218,вздумаем,1
1219,дразнить,1
1220,глаза,65
1221,кровью,3
1222,нальются,1
1223,сейчас,12
1224,кинжал,5
1225,эй,5
1226,азамат,28
1227,сносить,2
1228,тебе,44
1229,головы,4
1230,говорил,38
1231,яман,3
1232,плохо,7
1233,тюрк,6
1234,твоя,8
1235,башка,1
1236,приезжает,2
1237,сам,16
1238,старый,3
1239,звать,5
1240,свадьбу,3
1241,отдавал,1
1242,старшую,1
1243,дочь,20
1244,замуж,2
1245,кунаки,1
1246,нельзя,16
1247,отказаться,2
1248,татарин,2
1249,отправились,5
1250,ауле,1
1251,собак,1
1252,встретило,1
1253,громким,1
1254,лаем,1
1255,женщины,18
1256,увидя,1
1257,прятались,2
1258,рассмотреть,2
1259,лицо,28
1260,далеко,9
1261,красавицы,1
1262,лучшее,3
1263,мнение,8
1264,черкешенках,1
1265,погодите,7
1266,усмехаясь,2
1267,уме,3
1268,собралось,1
1269,азиатов,2
1270,обычай,1
1271,встречных,1
1272,поперечных,1
1273,приглашать,1
1274,приняли,4
1275,всеми,4
1276,почестями,1
1277,повели,1
1278,кунацкую,1
1279,позабыл,2
1280,подметить,1
1281,где,48
1282,поставили,2
1283,непредвидимого,1
1284,случая,3
1285,празднуют,1
1286,сначала,7
1287,мулла,1
1288,прочитает,1
1289,что-то,41
1290,корана,1
1291,потом,37
1292,дарят,1
1293,молодых,6
1294,родственников,1
1295,едят,1
1296,пьют,3
1297,бузу,1
1298,начинается,3
1299,джигитовка,1
1300,какой-нибудь,9
1301,оборвыш,1
1302,засаленный,1
1303,скверной,1
1304,хромой,1
1305,лошаденке,1
1306,ломается,1
1307,паясничает,1
1308,смешит,1
1309,честную,1
1310,компанию,1
1311,смеркнется,1
1312,кунацкой,1
1313,по-нашему,3
1314,сказать,20
1315,бал,4
1316,бедный,7
1317,старичишка,1
1318,бренчит,1
1319,трехструнной,1
1320,забыл,5
1321,по-ихнему,4
1322,вроде,4
1323,нашей,4
1324,балалайки,1
1325,девки,1
1326,молодые,3
1327,ребята,1
1328,становятся,2
1329,шеренги,1
1330,одна,24
1331,хлопают,1
1332,ладоши,2
1333,поют,1
1334,выходит,1
1335,девка,1
1336,мужчина,4
1337,середину,2
1338,начинают,2
1339,говорить,15
1340,другу,5
1341,стихи,3
1342,нараспев,1
1343,попало,2
1344,остальные,2
1345,подхватывают,1
1346,хором,1
1347,почетном,1
1348,месте,14
1349,подошла,3
1350,меньшая,1
1351,хозяина,4
1352,девушка,3
1353,шестнадцати,1
1354,пропела,2
1355,комплимента,1
1356,такое,13
1357,помните,3
1358,стройны,2
1359,дескать,2
1360,джигиты,1
1361,кафтаны,1
1362,серебром,2
1363,выложены,1
1364,русский,3
1365,стройнее,1
1366,галуны,1
1367,золотые,2
1368,тополь,1
1369,расти,1
1370,цвести,1
1371,нашем,2
1372,саду,4
1373,печорин,46
1374,встал,7
1375,ей,74
1376,приложив,3
1377,лбу,4
1378,сердцу,3
1379,просил,1
1380,отвечать,7
1381,хорошо,27
1382,перевел,1
1383,ответ,9
1384,отошла,2
1385,шепнул,3
1386,григорью,4
1387,александровичу,4
1388,какова,2
1389,прелесть,2
1390,зовут,4
1391,бэлою,1
1392,хороша,6
1393,высокая,1
1394,тоненькая,1
1395,горной,1
1396,серны,1
1397,заглядывали,1
1398,душу,8
1399,задумчивости,2
1400,сводил,1
1401,нее,42
1402,глаз,15
1403,частенько,1
1404,исподлобья,2
1405,посматривала,1
1406,любовался,1
1407,хорошенькой,3
1408,княжной,14
1409,угла,4
1410,неподвижные,2
1411,огненные,1
1412,стал,42
1413,вглядываться,1
1414,моего,19
1415,старого,3
1416,знакомца,1
1417,казбича,8
1418,немирной,1
1419,подозрений,1
1420,шалости,1
1421,замечен,1
1422,приводил,1
1423,крепость,9
1424,баранов,5
1425,продавал,1
1426,дешево,1
1427,никогда,36
1428,торговался,1
1429,запросит,1
1430,давай,1
1431,зарежь,1
1432,уступит,1
1433,говорили,9
1434,любит,21
1435,таскаться,2
1436,кубань,1
1437,абреками,2
1438,правду,4
1439,рожа,2
1440,разбойничья,3
1441,маленький,3
1442,широкоплечий,1
1443,ловок-то,2
1444,бес,3
1445,бешмет,3
1446,изорванный,1
1447,заплатках,1
1448,оружие,3
1449,серебре,1
1450,лошадь,31
1451,славилась,1
1452,целой,3
1453,кабарде,2
1454,лошади,16
1455,выдумать,1
1456,невозможно,7
1457,недаром,5
1458,завидовали,1
1459,наездники,1
1460,пытались,1
1461,украсть,1
1462,удавалось,2
1463,гляжу,1
1464,вороная,1
1465,смоль,1
1466,струнки,1
1467,хуже,12
1468,бэлы,2
1469,какая,5
1470,сила,2
1471,скачи,1
1472,пятьдесят,3
1473,выезжена,1
1474,бегает,2
1475,хозяином,1
1476,голос,17
1477,знала,5
1478,привязывает,1
1479,вечер,10
1480,казбич,35
1481,угрюмее,1
1482,заметил,18
1483,бешметом,1
1484,надета,1
1485,кольчуга,3
1486,подумал,15
1487,что-нибудь,12
1488,замышляет,1
1489,душно,2
1490,стало,22
1491,вышел,21
1492,воздух,14
1493,освежиться,1
1494,ложилась,1
1495,начинал,7
1496,бродить,2
1497,ущельям,1
1498,вздумалось,1
1499,завернуть,1
1500,навес,1
1501,стояли,1
1502,посмотреть,2
1503,корм,1
1504,притом,6
1505,осторожность,1
1506,мешает,3
1507,кабардинец,1
1508,умильно,1
1509,поглядывал,1
1510,приговаривая,2
1511,якши,2
1512,тхе,1
1513,чек,1
1514,пробираюсь,1
1515,вдоль,3
1516,забора,5
1517,вдруг,36
1518,слышу,4
1519,голоса,5
1520,повеса,1
1521,сын,2
1522,реже,2
1523,тише,1
1524,толкуют,2
1525,лошадке,1
1526,присел,2
1527,прислушиваться,1
1528,стараясь,10
1529,пропустить,1
1530,шум,7
1531,песен,1
1532,говор,2
1533,голосов,2
1534,вылетая,1
1535,сакли,3
1536,заглушали,1
1537,тебя,58
1538,доме,5
1539,табун,2
1540,триста,1
1541,кобыл,2
1542,половину,5
1543,твоего,5
1544,скакуна,3
1545,вспомнил,6
1546,кольчугу,2
1547,некоторого,6
1548,молчания,9
1549,найдешь,1
1550,ездил,1
1551,отбивать,1
1552,русские,2
1553,табуны,2
1554,посчастливилось,1
1555,рассыпались,1
1556,кто,28
1557,неслись,1
1558,казака,8
1559,слышал,12
1560,собою,12
1561,крики,2
1562,гяуров,1
1563,передо,7
1564,мною,23
1565,лес,3
1566,прилег,2
1567,седло,3
1568,поручил,1
1569,аллаху,1
1570,первый,15
1571,жизни,18
1572,оскорбил,3
1573,коня,15
1574,ударом,3
1575,плети,1
1576,птица,1
1577,нырнул,2
1578,ветвями,1
1579,острые,2
1580,колючки,1
1581,рвали,1
1582,одежду,3
1583,сухие,1
1584,сучья,1
1585,карагача,1
1586,били,1
1587,лицу,3
1588,конь,4
1589,прыгал,2
1590,пни,1
1591,разрывал,1
1592,кусты,7
1593,грудью,1
1594,бросить,3
1595,опушки,1
1596,скрыться,1
1597,лесу,4
1598,пешком,5
1599,расстаться,2
1600,пророк,1
1601,вознаградил,2
1602,несколько,42
1603,пуль,2
1604,провизжало,1
1605,над,30
1606,головою,7
1607,спешившиеся,1
1608,казаки,6
1609,бежали,3
1610,следам,1
1611,рытвина,1
1612,глубокая,3
1613,скакун,2
1614,прыгнул,2
1615,задние,1
1616,копыта,1
1617,оборвались,1
1618,противного,1
1619,берега,8
1620,повис,1
1621,передних,1
1622,ногах,2
1623,бросил,10
1624,поводья,5
1625,полетел,1
1626,овраг,1
1627,спасло,2
1628,выскочил,3
1629,видели,3
1630,спустился,3
1631,искать,3
1632,думали,2
1633,убился,1
1634,смерти,18
1635,бросились,4
1636,ловить,2
1637,сердце,34
1638,мое,34
1639,облилось,1
1640,пополз,1
1641,траве,3
1642,оврагу,1
1643,смотрю,7
1644,казаков,2
1645,выезжают,1
1646,поляну,1
1647,выскакивает,1
1648,карагез,4
1649,кинулись,2
1650,гонялись,1
1651,раза,12
1652,накинул,2
1653,шею,10
